HINDI,County,Municipality,Total Electors 2012,Voting Age Estimate 2012,Voter Turnout 2012,Total Electors 2016,Voting Age Estimate 2016,Voter Turnout 2016
21002,FOREST COUNTY,TOWN OF ALVIN,107,151,70.86%,101,150,67.33%
21004,FOREST COUNTY,TOWN OF ARGONNE,256,385,66.49%,272,388,70.10%
21006,FOREST COUNTY,TOWN OF ARMSTRONG CREEK,227,311,72.99%,225,322,69.88%
21008,FOREST COUNTY,TOWN OF BLACKWELL,100,277,36.10%,59,282,20.92%
21010,FOREST COUNTY,TOWN OF CASWELL,53,71,74.65%,47,71,66.20%
21012,FOREST COUNTY,TOWN OF CRANDON,322,497,64.79%,329,509,64.64%
21014,FOREST COUNTY,TOWN OF FREEDOM,224,278,80.58%,223,281,79.36%
21016,FOREST COUNTY,TOWN OF HILES,243,272,89.34%,255,276,92.39%
21018,FOREST COUNTY,TOWN OF LAONA,630,951,66.25%,601,969,62.02%
21020,FOREST COUNTY,TOWN OF LINCOLN,513,708,72.46%,509,727,70.01%
21022,FOREST COUNTY,TOWN OF NASHVILLE,592,817,72.46%,583,837,69.65%
21024,FOREST COUNTY,TOWN OF POPPLE RIVER,24,39,61.54%,24,39,61.54%
21026,FOREST COUNTY,TOWN OF ROSS,78,112,69.64%,72,115,62.61%
21028,FOREST COUNTY,TOWN OF WABENO,490,877,55.87%,456,895,50.95%
22206,GRANT COUNTY,CITY OF BOSCOBEL,"1,223","2,577",47.46%,"1,232","2,554",48.24%
22211,GRANT COUNTY,CITY OF CUBA CITY,927,"1,456",63.67%,842,"1,470",57.28%
22226,GRANT COUNTY,CITY OF FENNIMORE,"1,149","1,888",60.86%,"1,056","1,901",55.55%
22246,GRANT COUNTY,CITY OF LANCASTER,"1,827","2,952",61.89%,"1,707","2,944",57.98%
22271,GRANT COUNTY,CITY OF PLATTEVILLE,"5,634","10,106",55.75%,"6,098","11,502",53.02%
22002,GRANT COUNTY,TOWN OF BEETOWN,302,566,53.36%,311,573,54.28%
22004,GRANT COUNTY,TOWN OF BLOOMINGTON,174,268,64.93%,201,272,73.90%
22006,GRANT COUNTY,TOWN OF BOSCOBEL,196,296,66.22%,181,297,60.94%
22008,GRANT COUNTY,TOWN OF CASSVILLE,198,333,59.46%,189,336,56.25%
22010,GRANT COUNTY,TOWN OF CASTLE ROCK,136,208,65.38%,146,214,68.22%
22012,GRANT COUNTY,TOWN OF CLIFTON,152,251,60.56%,131,259,50.58%
22014,GRANT COUNTY,TOWN OF ELLENBORO,291,413,70.46%,285,428,66.59%
22016,GRANT COUNTY,TOWN OF FENNIMORE,247,438,56.39%,243,443,54.85%
22018,GRANT COUNTY,TOWN OF GLEN HAVEN,181,321,56.39%,185,324,57.10%
22020,GRANT COUNTY,TOWN OF HARRISON,276,376,73.40%,263,385,68.31%
22022,GRANT COUNTY,TOWN OF HAZEL GREEN,657,902,72.84%,629,911,69.05%
22024,GRANT COUNTY,TOWN OF HICKORY GROVE,171,312,54.81%,171,340,50.29%
22026,GRANT COUNTY,TOWN OF JAMESTOWN,"1,075","1,631",65.91%,"1,035","1,694",61.10%
22028,GRANT COUNTY,TOWN OF LIBERTY,260,402,64.68%,236,405,58.27%
22030,GRANT COUNTY,TOWN OF LIMA,376,566,66.43%,350,564,62.06%
22032,GRANT COUNTY,TOWN OF LITTLE GRANT,113,201,56.22%,139,202,68.81%
22034,GRANT COUNTY,TOWN OF MARION,236,432,54.63%,229,446,51.35%
22036,GRANT COUNTY,TOWN OF MILLVILLE,91,134,67.91%,94,135,69.63%
22038,GRANT COUNTY,TOWN OF MOUNT HOPE,101,205,49.27%,104,204,50.98%
22040,GRANT COUNTY,TOWN OF MOUNT IDA,247,423,58.39%,268,424,63.21%
22042,GRANT COUNTY,TOWN OF MUSCODA,306,572,53.50%,305,581,52.50%
22044,GRANT COUNTY,TOWN OF NORTH LANCASTER,268,387,69.25%,266,403,66.00%
22046,GRANT COUNTY,TOWN OF PARIS,385,535,71.96%,374,551,67.88%
22048,GRANT COUNTY,TOWN OF PATCH GROVE,154,254,60.63%,173,257,67.32%
22050,GRANT COUNTY,TOWN OF PLATTEVILLE,829,"1,152",71.96%,802,"1,175",68.26%
22052,GRANT COUNTY,TOWN OF POTOSI,419,630,66.51%,427,640,66.72%
22054,GRANT COUNTY,TOWN OF SMELSER,459,604,75.99%,445,611,72.83%
22056,GRANT COUNTY,TOWN OF SOUTH LANCASTER,339,644,52.64%,315,664,47.44%
22058,GRANT COUNTY,TOWN OF WATERLOO,255,448,56.92%,260,458,56.77%
22060,GRANT COUNTY,TOWN OF WATTERSTOWN,153,258,59.30%,163,263,61.98%
22062,GRANT COUNTY,TOWN OF WINGVILLE,166,251,66.14%,148,257,57.59%
22064,GRANT COUNTY,TOWN OF WOODMAN,76,150,50.67%,82,154,53.25%
22066,GRANT COUNTY,TOWN OF WYALUSING,185,284,65.14%,197,291,67.70%
22106,GRANT COUNTY,VILLAGE OF BAGLEY,173,317,54.57%,194,314,61.78%
22107,GRANT COUNTY,VILLAGE OF BLOOMINGTON,343,563,60.92%,364,560,65.00%
22108,GRANT COUNTY,VILLAGE OF BLUE RIVER,205,335,61.19%,187,"2,554",7.32%
22111,GRANT COUNTY,VILLAGE OF CASSVILLE,392,754,51.99%,399,755,52.85%
22116,GRANT COUNTY,VILLAGE OF DICKEYVILLE,571,809,70.58%,530,813,65.19%
22136,GRANT COUNTY,VILLAGE OF HAZEL GREEN,590,941,62.70%,556,950,58.53%
22147,GRANT COUNTY,VILLAGE OF LIVINGSTON,323,479,67.43%,286,481,59.46%
22151,GRANT COUNTY,VILLAGE OF MONTFORT,276,472,58.47%,272,478,56.90%
22152,GRANT COUNTY,VILLAGE OF MOUNT HOPE,67,152,44.08%,81,153,52.94%
22153,GRANT COUNTY,VILLAGE OF MUSCODA,563,980,57.45%,503,966,52.07%
22171,GRANT COUNTY,VILLAGE OF PATCH GROVE,70,151,46.36%,93,150,62.00%
22172,GRANT COUNTY,VILLAGE OF POTOSI,370,543,68.14%,355,542,65.50%
22186,GRANT COUNTY,VILLAGE OF TENNYSON,186,271,68.63%,178,282,63.12%
22191,GRANT COUNTY,VILLAGE OF WOODMAN,48,95,50.53%,41,95,43.16%
23206,GREEN COUNTY,CITY OF BRODHEAD,"1,388","2,393",58.00%,"1,348","2,394",56.31%
23251,GREEN COUNTY,CITY OF MONROE,"5,122","8,413",60.88%,"4,982","8,392",59.37%
23002,GREEN COUNTY,TOWN OF ADAMS,300,415,72.29%,291,420,69.29%
23004,GREEN COUNTY,TOWN OF ALBANY,617,840,73.45%,656,857,76.55%
23006,GREEN COUNTY,TOWN OF BROOKLYN,692,828,83.57%,674,851,79.20%
23008,GREEN COUNTY,TOWN OF CADIZ,430,635,67.72%,450,641,70.20%
23010,GREEN COUNTY,TOWN OF CLARNO,623,882,70.63%,646,886,72.91%
23012,GREEN COUNTY,TOWN OF DECATUR,994,"1,372",72.45%,942,"1,389",67.82%
23014,GREEN COUNTY,TOWN OF EXETER,"1,159","1,420",81.62%,"1,163","1,447",80.37%
23016,GREEN COUNTY,TOWN OF JEFFERSON,625,911,68.61%,627,923,67.93%
23018,GREEN COUNTY,TOWN OF JORDAN,353,486,72.63%,319,486,65.64%
23020,GREEN COUNTY,TOWN OF MONROE,687,"1,001",68.63%,715,"1,008",70.93%
23022,GREEN COUNTY,TOWN OF MOUNT PLEASANT,690,462,149.35%,328,472,69.49%
23024,GREEN COUNTY,TOWN OF NEW GLARUS,810,955,84.82%,821,978,83.95%
23026,GREEN COUNTY,TOWN OF SPRING GROVE,487,672,72.47%,467,689,67.78%
23028,GREEN COUNTY,TOWN OF SYLVESTER,594,733,81.04%,567,740,76.62%
23030,GREEN COUNTY,TOWN OF WASHINGTON,455,626,72.68%,451,633,71.25%
23032,GREEN COUNTY,TOWN OF YORK,559,674,82.94%,546,700,78.00%
23101,GREEN COUNTY,VILLAGE OF ALBANY,509,788,64.59%,478,790,60.51%
23106,GREEN COUNTY,VILLAGE OF BELLEVILLE,293,383,76.50%,292,385,75.84%
23109,GREEN COUNTY,VILLAGE OF BROOKLYN,245,337,72.70%,252,338,74.56%
23110,GREEN COUNTY,VILLAGE OF BROWNTOWN,143,206,69.42%,120,206,58.25%
23151,GREEN COUNTY,VILLAGE OF MONTICELLO,675,920,73.37%,633,927,68.28%
23161,GREEN COUNTY,VILLAGE OF NEW GLARUS,"1,256","1,669",75.25%,"1,217","1,677",72.57%
24206,GREEN LAKE COUNTY,CITY OF BERLIN,"2,361","4,059",58.17%,"2,234","4,068",54.92%
24231,GREEN LAKE COUNTY,CITY OF GREEN LAKE,588,841,69.92%,564,854,66.04%
24251,GREEN LAKE COUNTY,CITY OF MARKESAN,720,"1,108",64.98%,687,"1,099",62.51%
24271,GREEN LAKE COUNTY,CITY OF PRINCETON,614,935,65.67%,601,933,64.42%
24002,GREEN LAKE COUNTY,TOWN OF BERLIN,684,893,76.60%,667,903,73.86%
24004,GREEN LAKE COUNTY,TOWN OF BROOKLYN,"1,192","1,509",78.99%,"1,131","1,538",73.54%
24006,GREEN LAKE COUNTY,TOWN OF GREEN LAKE,749,986,75.96%,714,996,71.69%
24008,GREEN LAKE COUNTY,TOWN OF KINGSTON,296,671,44.11%,290,682,42.52%
24010,GREEN LAKE COUNTY,TOWN OF MACKFORD,306,430,71.16%,286,435,65.75%
24012,GREEN LAKE COUNTY,TOWN OF MANCHESTER,404,677,59.68%,357,690,51.74%
24014,GREEN LAKE COUNTY,TOWN OF MARQUETTE,288,429,67.13%,279,432,64.58%
24016,GREEN LAKE COUNTY,TOWN OF PRINCETON,858,"1,230",69.76%,863,"1,245",69.32%
24020,GREEN LAKE COUNTY,TOWN OF SENECA,217,321,67.60%,231,327,70.64%
24018,GREEN LAKE COUNTY,TOWN OF ST. MARIE,221,299,73.91%,228,304,75.00%
24141,GREEN LAKE COUNTY,VILLAGE OF KINGSTON,182,251,72.51%,169,253,66.80%
24154,GREEN LAKE COUNTY,VILLAGE OF MARQUETTE,69,131,52.67%,87,132,65.91%
25216,IOWA COUNTY,CITY OF DODGEVILLE,"2,315","3,450",67.10%,"2,379","3,460",68.76%
25251,IOWA COUNTY,CITY OF MINERAL POINT,"1,365","1,959",69.68%,"1,370","1,981",69.16%
25002,IOWA COUNTY,TOWN OF ARENA,877,"1,171",74.89%,795,"1,197",66.42%
25004,IOWA COUNTY,TOWN OF BRIGHAM,628,805,78.01%,634,822,77.13%
25006,IOWA COUNTY,TOWN OF CLYDE,188,235,80.00%,196,239,82.01%
25008,IOWA COUNTY,TOWN OF DODGEVILLE,"1,025","1,307",78.42%,947,"1,341",70.62%
25010,IOWA COUNTY,TOWN OF EDEN,214,279,76.70%,207,289,71.63%
25012,IOWA COUNTY,TOWN OF HIGHLAND,395,581,67.99%,378,591,63.96%
25014,IOWA COUNTY,TOWN OF LINDEN,385,662,58.16%,380,661,57.49%
25016,IOWA COUNTY,TOWN OF MIFFLIN,296,435,68.05%,274,444,61.71%
25018,IOWA COUNTY,TOWN OF MINERAL POINT,517,719,71.91%,482,733,65.76%
25020,IOWA COUNTY,TOWN OF MOSCOW,372,443,83.97%,339,459,73.86%
25022,IOWA COUNTY,TOWN OF PULASKI,175,312,56.09%,180,321,56.07%
25024,IOWA COUNTY,TOWN OF RIDGEWAY,368,458,80.35%,355,455,78.02%
25026,IOWA COUNTY,TOWN OF WALDWICK,268,363,73.83%,260,369,70.46%
25028,IOWA COUNTY,TOWN OF WYOMING,206,245,84.08%,221,244,90.57%
25101,IOWA COUNTY,VILLAGE OF ARENA,442,587,75.30%,406,587,69.17%
25102,IOWA COUNTY,VILLAGE OF AVOCA,256,479,53.44%,230,478,48.12%
25106,IOWA COUNTY,VILLAGE OF BARNEVELD,614,862,71.23%,639,870,73.45%
25108,IOWA COUNTY,VILLAGE OF BLANCHARDVILLE,98,137,71.53%,85,140,60.71%
25111,IOWA COUNTY,VILLAGE OF COBB,253,358,70.67%,246,363,67.77%
25136,IOWA COUNTY,VILLAGE OF HIGHLAND,423,647,65.38%,388,652,59.51%
25137,IOWA COUNTY,VILLAGE OF HOLLANDALE,146,208,70.19%,145,207,70.05%
25146,IOWA COUNTY,VILLAGE OF LINDEN,245,390,62.82%,229,390,58.72%
25147,IOWA COUNTY,VILLAGE OF LIVINGSTON,4,5,80.00%,2,5,40.00%
25151,IOWA COUNTY,VILLAGE OF MONTFORT,55,69,79.71%,54,72,75.00%
25153,IOWA COUNTY,VILLAGE OF MUSCODA,26,34,76.47%,14,28,50.00%
25176,IOWA COUNTY,VILLAGE OF REWEY,106,203,52.22%,102,201,50.75%
25177,IOWA COUNTY,VILLAGE OF RIDGEWAY,323,502,64.34%,323,498,64.86%
26236,IRON COUNTY,CITY OF HURLEY,800,"1,273",62.84%,713,"1,273",56.01%
26251,IRON COUNTY,CITY OF MONTREAL,446,621,71.82%,418,626,66.77%
26002,IRON COUNTY,TOWN OF ANDERSON,46,47,97.87%,47,49,95.92%
26004,IRON COUNTY,TOWN OF CAREY,103,135,76.30%,98,139,70.50%
26006,IRON COUNTY,TOWN OF GURNEY,94,120,78.33%,83,124,66.94%
26008,IRON COUNTY,TOWN OF KIMBALL,323,378,85.45%,294,384,76.56%
26010,IRON COUNTY,TOWN OF KNIGHT,132,169,78.11%,103,170,60.59%
26012,IRON COUNTY,TOWN OF MERCER,994,"1,234",80.55%,983,"1,278",76.92%
26014,IRON COUNTY,TOWN OF OMA,226,252,89.68%,242,260,93.08%
26016,IRON COUNTY,TOWN OF PENCE,122,140,87.14%,101,139,72.66%
26018,IRON COUNTY,TOWN OF SAXON,209,264,79.17%,215,269,79.93%
26020,IRON COUNTY,TOWN OF SHERMAN,227,262,86.64%,200,269,74.35%
27206,JACKSON COUNTY,CITY OF BLACK RIVER FALLS,"1,603","2,798",57.29%,"1,535","2,826",54.32%
27002,JACKSON COUNTY,TOWN OF ADAMS,807,"1,115",72.38%,771,"1,139",67.69%
27004,JACKSON COUNTY,TOWN OF ALBION,601,930,64.62%,627,952,65.86%
27006,JACKSON COUNTY,TOWN OF ALMA,502,788,63.71%,459,823,55.77%
27008,JACKSON COUNTY,TOWN OF BEAR BLUFF,87,112,77.68%,81,111,72.97%
27010,JACKSON COUNTY,TOWN OF BROCKWAY,802,"2,350",34.13%,816,"2,395",34.07%
27012,JACKSON COUNTY,TOWN OF CITY POINT,110,162,67.90%,99,162,61.11%
27014,JACKSON COUNTY,TOWN OF CLEVELAND,234,374,62.57%,254,385,65.97%
27016,JACKSON COUNTY,TOWN OF CURRAN,148,259,57.14%,161,244,65.98%
27018,JACKSON COUNTY,TOWN OF FRANKLIN,200,335,59.70%,195,340,57.35%
27020,JACKSON COUNTY,TOWN OF GARDEN VALLEY,244,318,76.73%,231,327,70.64%
27022,JACKSON COUNTY,TOWN OF GARFIELD,323,483,66.87%,333,511,65.17%
27024,JACKSON COUNTY,TOWN OF HIXTON,328,513,63.94%,315,521,60.46%
27026,JACKSON COUNTY,TOWN OF IRVING,366,559,65.47%,357,569,62.74%
27028,JACKSON COUNTY,TOWN OF KNAPP,159,251,63.35%,190,259,73.36%
27030,JACKSON COUNTY,TOWN OF KOMENSKY,140,358,39.11%,154,373,41.29%
27032,JACKSON COUNTY,TOWN OF MANCHESTER,373,577,64.64%,396,583,67.92%
27034,JACKSON COUNTY,TOWN OF MELROSE,221,343,64.43%,226,358,63.13%
27036,JACKSON COUNTY,TOWN OF MILLSTON,102,134,76.12%,94,139,67.63%
27038,JACKSON COUNTY,TOWN OF NORTH BEND,261,383,68.15%,272,388,70.10%
27040,JACKSON COUNTY,TOWN OF NORTHFIELD,341,499,68.34%,353,509,69.35%
27042,JACKSON COUNTY,TOWN OF SPRINGFIELD,240,435,55.17%,223,425,52.47%
27101,JACKSON COUNTY,VILLAGE OF ALMA CENTER,237,358,66.20%,220,363,60.61%
27136,JACKSON COUNTY,VILLAGE OF HIXTON,226,337,67.06%,214,337,63.50%
27151,JACKSON COUNTY,VILLAGE OF MELROSE,265,377,70.29%,272,378,71.96%
27152,JACKSON COUNTY,VILLAGE OF MERRILLAN,245,425,57.65%,241,421,57.24%
27186,JACKSON COUNTY,VILLAGE OF TAYLOR,194,368,52.72%,183,374,48.93%
28226,JEFFERSON COUNTY,CITY OF FORT ATKINSON,"6,247","9,458",66.05%,"5,868","9,564",61.36%
28241,JEFFERSON COUNTY,CITY OF JEFFERSON,"3,619","6,026",60.06%,"3,504","6,103",57.41%
28246,JEFFERSON COUNTY,CITY OF LAKE MILLS,"3,352","4,333",77.36%,"3,333","4,467",74.61%
28290,JEFFERSON COUNTY,CITY OF WATERLOO,"1,640","2,473",66.32%,"1,622","2,519",64.39%
28291,JEFFERSON COUNTY,CITY OF WATERTOWN,"7,140","11,246",63.49%,"6,692","11,290",59.27%
28292,JEFFERSON COUNTY,CITY OF WHITEWATER,"1,352","2,949",45.85%,"1,348","2,724",49.49%
28002,JEFFERSON COUNTY,TOWN OF AZTALAN,842,"1,115",75.52%,802,"1,123",71.42%
28004,JEFFERSON COUNTY,TOWN OF COLD SPRING,474,561,84.49%,474,604,78.48%
28006,JEFFERSON COUNTY,TOWN OF CONCORD,"1,259","1,655",76.07%,"1,202","1,673",71.85%
28008,JEFFERSON COUNTY,TOWN OF FARMINGTON,872,"1,053",82.81%,875,"1,065",82.16%
28010,JEFFERSON COUNTY,TOWN OF HEBRON,651,839,77.59%,613,844,72.63%
28012,JEFFERSON COUNTY,TOWN OF IXONIA,"2,726","3,351",81.35%,"2,742","3,544",77.37%
28014,JEFFERSON COUNTY,TOWN OF JEFFERSON,"1,260","1,742",72.33%,"1,206","1,755",68.72%
28016,JEFFERSON COUNTY,TOWN OF KOSHKONONG,"2,181","2,873",75.91%,"2,108","2,901",72.66%
28018,JEFFERSON COUNTY,TOWN OF LAKE MILLS,"1,299","1,625",79.94%,"1,226","1,640",74.76%
28020,JEFFERSON COUNTY,TOWN OF MILFORD,637,868,73.39%,629,883,71.23%
28022,JEFFERSON COUNTY,TOWN OF OAKLAND,"1,923","2,477",77.63%,"1,821","2,485",73.28%
28024,JEFFERSON COUNTY,TOWN OF PALMYRA,774,945,81.90%,767,945,81.16%
28026,JEFFERSON COUNTY,TOWN OF SULLIVAN,"1,344","1,738",77.33%,"1,336","1,756",76.08%
28028,JEFFERSON COUNTY,TOWN OF SUMNER,528,698,75.64%,530,673,78.75%
28030,JEFFERSON COUNTY,TOWN OF WATERLOO,513,685,74.89%,510,687,74.24%
28032,JEFFERSON COUNTY,TOWN OF WATERTOWN,"1,168","1,529",76.39%,"1,115","1,539",72.45%
28111,JEFFERSON COUNTY,VILLAGE OF CAMBRIDGE,42,75,56.00%,44,75,58.67%
28141,JEFFERSON COUNTY,VILLAGE OF JOHNSON CREEK,"1,459","2,057",70.93%,"1,518","2,164",70.15%
28146,JEFFERSON COUNTY,VILLAGE OF LAC LA BELLE,0,1,0.00%,0,1,0.00%
28171,JEFFERSON COUNTY,VILLAGE OF PALMYRA,941,"1,332",70.65%,901,"1,337",67.39%
28181,JEFFERSON COUNTY,VILLAGE OF SULLIVAN,349,518,67.37%,360,525,68.57%
29221,JUNEAU COUNTY,CITY OF ELROY,601,"1,109",54.19%,555,"1,080",51.39%
29251,JUNEAU COUNTY,CITY OF MAUSTON,"1,662","3,524",47.16%,"1,603","3,524",45.49%
29261,JUNEAU COUNTY,CITY OF NEW LISBON,613,"2,187",28.03%,604,"2,201",27.44%
29291,JUNEAU COUNTY,CITY OF WISCONSIN DELLS,0,0,,0,0,
29002,JUNEAU COUNTY,TOWN OF ARMENIA,358,575,62.26%,360,605,59.50%
29004,JUNEAU COUNTY,TOWN OF CLEARFIELD,382,582,65.64%,393,593,66.27%
29006,JUNEAU COUNTY,TOWN OF CUTLER,193,271,71.22%,203,274,74.09%
29008,JUNEAU COUNTY,TOWN OF FINLEY,50,79,63.29%,65,78,83.33%
29010,JUNEAU COUNTY,TOWN OF FOUNTAIN,304,458,66.38%,299,475,62.95%
29012,JUNEAU COUNTY,TOWN OF GERMANTOWN,772,"1,292",59.75%,821,"1,389",59.11%
29014,JUNEAU COUNTY,TOWN OF KILDARE,327,554,59.03%,309,568,54.40%
29016,JUNEAU COUNTY,TOWN OF KINGSTON,22,71,30.99%,20,69,28.99%
29018,JUNEAU COUNTY,TOWN OF LEMONWEIR,791,"1,391",56.87%,776,"1,404",55.27%
29020,JUNEAU COUNTY,TOWN OF LINDINA,412,559,73.70%,401,561,71.48%
29022,JUNEAU COUNTY,TOWN OF LISBON,450,721,62.41%,489,724,67.54%
29024,JUNEAU COUNTY,TOWN OF LYNDON,636,"1,069",59.49%,628,"1,085",57.88%
29026,JUNEAU COUNTY,TOWN OF MARION,256,351,72.93%,247,360,68.61%
29028,JUNEAU COUNTY,TOWN OF NECEDAH,"1,113","1,748",63.67%,"1,175","1,784",65.86%
29030,JUNEAU COUNTY,TOWN OF ORANGE,275,447,61.52%,266,452,58.85%
29032,JUNEAU COUNTY,TOWN OF PLYMOUTH,339,467,72.59%,303,470,64.47%
29034,JUNEAU COUNTY,TOWN OF SEVEN MILE CREEK,170,282,60.28%,168,282,59.57%
29036,JUNEAU COUNTY,TOWN OF SUMMIT,329,516,63.76%,327,524,62.40%
29038,JUNEAU COUNTY,TOWN OF WONEWOC,336,528,63.64%,325,532,61.09%
29111,JUNEAU COUNTY,VILLAGE OF CAMP DOUGLAS,257,444,57.88%,276,453,60.93%
29136,JUNEAU COUNTY,VILLAGE OF HUSTLER,92,151,60.93%,102,153,66.67%
29146,JUNEAU COUNTY,VILLAGE OF LYNDON STATION,210,411,51.09%,200,405,49.38%
29161,JUNEAU COUNTY,VILLAGE OF NECEDAH,425,671,63.34%,383,670,57.16%
29186,JUNEAU COUNTY,VILLAGE OF UNION CENTER,101,168,60.12%,98,168,58.33%
29191,JUNEAU COUNTY,VILLAGE OF WONEWOC,366,624,58.65%,336,621,54.11%
30241,KENOSHA COUNTY,CITY OF KENOSHA,"45,317","73,235",61.88%,"41,599","73,567",56.55%
30002,KENOSHA COUNTY,TOWN OF BRIGHTON,894,"1,128",79.26%,886,"1,141",77.65%
30006,KENOSHA COUNTY,TOWN OF PARIS,956,"1,187",80.54%,919,"1,194",76.97%
30010,KENOSHA COUNTY,TOWN OF RANDALL,"1,732","2,426",71.39%,"1,756","2,441",71.94%
30012,KENOSHA COUNTY,TOWN OF SALEM,"5,930","8,951",66.25%,"5,852","9,052",64.65%
30014,KENOSHA COUNTY,TOWN OF SOMERS,"5,209","7,709",67.57%,540,998,54.11%
30016,KENOSHA COUNTY,TOWN OF WHEATLAND,"1,818","2,586",70.30%,"1,790","2,596",68.95%
30104,KENOSHA COUNTY,VILLAGE OF BRISTOL,"2,866","3,791",75.60%,"2,856","3,876",73.68%
30131,KENOSHA COUNTY,VILLAGE OF GENOA CITY,2,5,40.00%,0,5,0.00%
30171,KENOSHA COUNTY,VILLAGE OF PADDOCK LAKE,"1,526","2,258",67.58%,"1,423","2,269",62.71%
30174,KENOSHA COUNTY,VILLAGE OF PLEASANT PRAIRIE,"11,047","14,856",74.36%,"11,225","15,392",72.93%
30181,KENOSHA COUNTY,VILLAGE OF SILVER LAKE,"1,203","1,744",68.98%,"1,219","1,752",69.58%
,KENOSHA COUNTY,VILLAGE OF SOMERS,,,#DIV/0!,"4,300","6,951",61.86%
30186,KENOSHA COUNTY,VILLAGE OF TWIN LAKES,"2,712","4,534",59.81%,"2,711","4,605",58.87%
31201,KEWAUNEE COUNTY,CITY OF ALGOMA,"1,564","2,515",62.19%,"1,478","2,515",58.77%
31241,KEWAUNEE COUNTY,CITY OF KEWAUNEE,"1,496","2,377",62.94%,"1,403","2,363",59.37%
31002,KEWAUNEE COUNTY,TOWN OF AHNAPEE,523,755,69.27%,481,755,63.71%
31004,KEWAUNEE COUNTY,TOWN OF CARLTON,608,812,74.88%,580,822,70.56%
31006,KEWAUNEE COUNTY,TOWN OF CASCO,653,864,75.58%,620,876,70.78%
31008,KEWAUNEE COUNTY,TOWN OF FRANKLIN,556,761,73.06%,572,773,74.00%
31010,KEWAUNEE COUNTY,TOWN OF LINCOLN,499,713,69.99%,481,722,66.62%
31012,KEWAUNEE COUNTY,TOWN OF LUXEMBURG,858,"1,071",80.11%,837,"1,097",76.30%
31014,KEWAUNEE COUNTY,TOWN OF MONTPELIER,793,991,80.02%,792,"1,014",78.11%
31016,KEWAUNEE COUNTY,TOWN OF PIERCE,481,669,71.90%,432,672,64.29%
31018,KEWAUNEE COUNTY,TOWN OF RED RIVER,820,"1,125",72.89%,810,"1,146",70.68%
31020,KEWAUNEE COUNTY,TOWN OF WEST KEWAUNEE,682,968,70.45%,736,990,74.34%
31111,KEWAUNEE COUNTY,VILLAGE OF CASCO,289,412,70.15%,283,422,67.06%
31146,KEWAUNEE COUNTY,VILLAGE OF LUXEMBURG,"1,309","1,803",72.60%,"1,253","1,831",68.43%
32246,LA CROSSE COUNTY,CITY OF LA CROSSE,"27,992","43,407",64.49%,"27,127","44,346",61.17%
32265,LA CROSSE COUNTY,CITY OF ONALASKA,"9,949","13,573",73.30%,"9,846","14,143",69.62%
32002,LA CROSSE COUNTY,TOWN OF BANGOR,314,466,67.38%,289,472,61.23%
32004,LA CROSSE COUNTY,TOWN OF BARRE,717,924,77.60%,727,948,76.69%
32006,LA CROSSE COUNTY,TOWN OF BURNS,562,759,74.04%,519,764,67.93%
32008,LA CROSSE COUNTY,TOWN OF CAMPBELL,"2,584","3,568",72.42%,"2,435","3,595",67.73%
32010,LA CROSSE COUNTY,TOWN OF FARMINGTON,"1,066","1,585",67.26%,"1,081","1,601",67.52%
32012,LA CROSSE COUNTY,TOWN OF GREENFIELD,"1,183","1,518",77.93%,"1,166","1,560",74.74%
32014,LA CROSSE COUNTY,TOWN OF HAMILTON,"1,461","1,790",81.62%,"1,426","1,815",78.57%
32016,LA CROSSE COUNTY,TOWN OF HOLLAND,"2,254","2,727",82.65%,"2,363","2,873",82.25%
32018,LA CROSSE COUNTY,TOWN OF MEDARY,987,"1,134",87.04%,960,"1,153",83.26%
32020,LA CROSSE COUNTY,TOWN OF ONALASKA,"3,336","4,183",79.75%,"3,284","4,283",76.68%
32022,LA CROSSE COUNTY,TOWN OF SHELBY,"3,112","3,706",83.97%,"2,975","3,729",79.78%
32024,LA CROSSE COUNTY,TOWN OF WASHINGTON,324,413,78.45%,321,407,78.87%
32106,LA CROSSE COUNTY,VILLAGE OF BANGOR,747,"1,040",71.83%,739,"1,082",68.30%
32136,LA CROSSE COUNTY,VILLAGE OF HOLMEN,"4,671","6,450",72.42%,"4,713","6,810",69.21%
32176,LA CROSSE COUNTY,VILLAGE OF ROCKLAND,296,455,65.05%,309,471,65.61%
32191,LA CROSSE COUNTY,VILLAGE OF WEST SALEM,"2,554","3,585",71.24%,"2,688","3,704",72.57%
33211,LAFAYETTE COUNTY,CITY OF CUBA CITY,120,157,76.43%,124,160,77.50%
33216,LAFAYETTE COUNTY,CITY OF DARLINGTON,"1,050","1,876",55.97%,"1,018","1,871",54.41%
33281,LAFAYETTE COUNTY,CITY OF SHULLSBURG,571,931,61.33%,515,928,55.50%
33002,LAFAYETTE COUNTY,TOWN OF ARGYLE,248,352,70.45%,232,363,63.91%
33004,LAFAYETTE COUNTY,TOWN OF BELMONT,320,539,59.37%,319,557,57.27%
33006,LAFAYETTE COUNTY,TOWN OF BENTON,252,392,64.29%,244,399,61.15%
33008,LAFAYETTE COUNTY,TOWN OF BLANCHARD,176,204,86.27%,167,209,79.90%
33010,LAFAYETTE COUNTY,TOWN OF DARLINGTON,490,656,74.70%,496,664,74.70%
33012,LAFAYETTE COUNTY,TOWN OF ELK GROVE,211,352,59.94%,205,367,55.86%
